<!DOCTYPE,html>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Open source guides&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Open source guides;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""84ba3c6420e57d545d910169cb7cbfa47f11ba4e967dd8f8b0cab29bdb45d00a"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Open source guides&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Open source guides;&quot;}"" href=""https://opensource.guide"">"
NA,Open source guides
</a>,</li>
NA,"<li class=""color-fg-muted text-normal f6 text-mono mb-1 border-top pt-3 mt-3 mb-1"">Connect with others</li>"
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to The ReadME Project&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:The ReadME Project;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""cfb8e7f7c98c2fab75d0d4bcab629fe22d8c20c30f9faad236a70f449473c77a"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to The ReadME Project&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:The ReadME Project;&quot;}"" href=""/readme"">"
NA,The ReadME Project
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Events&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Events;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""7707823f48c50777059a8b1034e32753c9c0ba036befe93e755e19e655fe1c0f"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Events&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Events;&quot;}"" href=""/events"">"
NA,Events
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Community forum&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Community forum;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""68c22585d077bf8eacbc61dbf63bbf36aa72540130b92a0898d8e6feaabd1ae9"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to Community forum&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Community forum;&quot;}"" href=""https://github.community"">"
NA,Community forum
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to GitHub Education&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:GitHub Education;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""3e864fb069d349c6438208b2cbb2875d14968416a17f449bb77f4306bec201ba"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to GitHub Education&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:GitHub Education;&quot;}"" href=""https://education.github.com"">"
NA,GitHub Education
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to GitHub Stars program&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:GitHub Stars program;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""9cd24039d7f093281265e31973193a4d00b6f86a4058a045437e7cfb1db1d6e0"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Explore&quot;,&quot;action&quot;:&quot;click to go to GitHub Stars program&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:GitHub Stars program;&quot;}"" href=""https://stars.github.com"">"
NA,GitHub Stars program
</a>,</li>
NA,</ul>
NA,</div>
NA,</details>
</li>,NA
NA,"<li class=""mr-0 mr-lg-3 position-relative flex-wrap flex-justify-between flex-items-center border-bottom border-lg-bottom-0 d-block d-lg-flex flex-lg-nowrap flex-lg-items-center"">"
NA,"<a class=""HeaderMenu-link no-underline py-3 d-block d-lg-inline-block"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header menu top item (logged out)&quot;,&quot;action&quot;:&quot;click to go to Marketplace&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Marketplace;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""039e7b9f5e882a96757019d8937e207cb2e8e3643727aeb68d641b6f60ca0409"" data-analytics-event=""{&quot;category&quot;:&quot;Header menu top item (logged out)&quot;,&quot;action&quot;:&quot;click to go to Marketplace&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Marketplace;&quot;}"" href=""/marketplace"">Marketplace</a>"
</li>,NA
NA,"<li class=""mr-0 mr-lg-3 position-relative flex-wrap flex-justify-between flex-items-center border-bottom border-lg-bottom-0 d-block d-lg-flex flex-lg-nowrap flex-lg-items-center"">"
NA,"<details class=""HeaderMenu-details details-overlay details-reset width-full"">"
NA,"<summary class=""HeaderMenu-summary HeaderMenu-link px-0 py-3 border-0 no-wrap d-block d-lg-inline-block"">"
NA,Pricing
NA,"<svg x=""0"" y=""0"" viewBox=""0 0 14 8"" xml:space=""preserve"" fill=""none"" class=""icon-chevon-down-mktg position-absolute position-lg-relative""><path d=""M1,1l6.2,6L13,1""></path></svg>"
NA,</summary>
NA,"<div class=""dropdown-menu flex-auto rounded px-0 mt-0 pb-4 p-lg-4 position-relative position-lg-absolute left-0 left-lg-n4"">"
NA,"<ul class=""list-style-none f5 pb-1"">"
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--primary text-bold py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Pricing&quot;,&quot;action&quot;:&quot;click to go to Plans&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Plans;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""b4de44523f76495dadfbfe772626f4af7391a0e996db5bc3d6691d4fe76c9c79"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Pricing&quot;,&quot;action&quot;:&quot;click to go to Plans&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Plans;&quot;}"" href=""/pricing"">"
NA,Plans
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Pricing&quot;,&quot;action&quot;:&quot;click to go to Compare plans&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Compare plans;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""496d5c6adf2949a98f8393bbdaf263e063eec4b5dc15bd76c6047e25794a8fc4"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Pricing&quot;,&quot;action&quot;:&quot;click to go to Compare plans&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Compare plans;&quot;}"" href=""/pricing#compare-features"">"
NA,Compare plans
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--secondary py-2"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Pricing&quot;,&quot;action&quot;:&quot;click to go to Contact Sales&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Contact Sales;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""70911e120b34955b535fe3e659a81ac0c139592c441bef95dd99fe9f0cd9e042"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Pricing&quot;,&quot;action&quot;:&quot;click to go to Contact Sales&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Contact Sales;&quot;}"" href=""https://github.com/enterprise/contact"">"
NA,Contact Sales
</a>,</li>
NA,<li>
NA,"<a class=""lh-condensed-ultra d-block no-underline position-relative Link--primary text-bold border-top pt-4 pb-2 mt-3"" data-hydro-click=""{&quot;event_type&quot;:&quot;analytics.event&quot;,&quot;payload&quot;:{&quot;category&quot;:&quot;Header dropdown (logged out), Pricing&quot;,&quot;action&quot;:&quot;click to go to Education&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Education;&quot;,&quot;originating_url&quot;:&quot;https://github.com/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz&quot;,&quot;user_id&quot;:null}}"" data-hydro-click-hmac=""6991f471e29672c6f68697304888b7b4b6979cb14c40e4425824d12592bcf205"" data-analytics-event=""{&quot;category&quot;:&quot;Header dropdown (logged out), Pricing&quot;,&quot;action&quot;:&quot;click to go to Education&quot;,&quot;label&quot;:&quot;ref_page:/EmilHvitfeldt/smltar/blob/master/data/complaints.csv.gz;ref_cta:Education;&quot;}"" href=""https://education.github.com"">"
NA,Education
</a>,</li>
NA,</ul>
NA,</div>
NA,</details>
</li>,NA
NA,</ul>
NA,</nav>
NA,"<div class=""d-lg-flex flex-items-center px-3 px-lg-0 text-center text-lg-left"">"
NA,"<div class=""d-lg-flex min-width-0 mb-3 mb-lg-0"">"
<div,"class=""header-search flex-auto js-site-search position-relative flex-self-stretch flex-md-self-auto mb-3 mb-md-0 mr-0 mr-md-3 scoped-search site-scoped-search js-jump-to"""
>,NA
NA,"<div class=""position-relative"">"
NA,"<!-- '""` --><!-- </textarea></xmp> --></option></form><form class=""js-site-search-form"" role=""search"" aria-label=""Site"" data-scope-type=""Repository"" data-scope-id=""127393589"" data-scoped-search-url=""/EmilHvitfeldt/smltar/search"" data-owner-scoped-search-url=""/users/EmilHvitfeldt/search"" data-unscoped-search-url=""/search"" action=""/EmilHvitfeldt/smltar/search"" accept-charset=""UTF-8"" method=""get"">"
NA,"<label class=""form-control input-sm header-search-wrapper p-0 js-chromeless-input-container header-search-wrapper-jump-to position-relative d-flex flex-justify-between flex-items-center"">"
NA,"<input type=""text"""
NA,"class=""form-control input-sm header-search-input jump-to-field js-jump-to-field js-site-search-focus js-site-search-field is-clearable"""
NA,"data-hotkey=s,/"
NA,"name=""q"""
NA,"data-test-selector=""nav-search-input"""
NA,"placeholder=""Search"""
NA,"data-unscoped-placeholder=""Search GitHub"""
NA,"data-scoped-placeholder=""Search"""
NA,"autocapitalize=""off"""
NA,"role=""combobox"""
NA,"aria-haspopup=""listbox"""
NA,"aria-expanded=""false"""
NA,"aria-autocomplete=""list"""
NA,"aria-controls=""jump-to-results"""
NA,"aria-label=""Search"""
NA,"data-jump-to-suggestions-path=""/_graphql/GetSuggestedNavigationDestinations"""
NA,"spellcheck=""false"""
NA,"autocomplete=""off"""
NA,>
NA,"<input type=""hidden"" data-csrf=""true"" class=""js-data-jump-to-suggestions-path-csrf"" value=""rkkJC129nLuZtB0rnKxtEvoJhSyATd5F7biIYY/eW/dgc6JFrKD3QTjmmPdtbQCVCOTNaD31iJDgtwQbZmE+ww=="" />"
NA,"<input type=""hidden"" class=""js-site-search-type-field"" name=""type"" >"
NA,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""22"" height=""20"" aria-hidden=""true"" class=""mr-1 header-search-key-slash""><path fill=""none"" stroke=""#979A9C"" opacity="".4"" d=""M3.5.5h12c1.7 0 3 1.3 3 3v13c0 1.7-1.3 3-3 3h-12c-1.7 0-3-1.3-3-3v-13c0-1.7 1.3-3 3-3z""></path><path fill=""#979A9C"" d=""M11.8 6L8 15.1h-.9L10.8 6h1z""></path></svg>"
NA,"<div class=""Box position-absolute overflow-hidden d-none jump-to-suggestions js-jump-to-suggestions-container"">"
<ul,"class=""d-none js-jump-to-suggestions-template-container"">"
<li,"class=""d-flex flex-justify-start flex-items-center p-0 f5 navigation-item js-navigation-item js-jump-to-suggestion"" role=""option"">"
NA,"<a tabindex=""-1"" class=""no-underline d-flex flex-auto flex-items-center jump-to-suggestions-path js-jump-to-suggestion-path js-navigation-open p-2"" href="""" data-item-type=""suggestion"">"
NA,"<div class=""jump-to-octicon js-jump-to-octicon flex-shrink-0 mr-2 text-center d-none"">"
NA,"<svg title=""Repository"" aria-label=""Repository"" role=""img"" height=""16"" viewBox=""0 0 16 16"" version=""1.1"" width=""16"" data-view-component=""true"" class=""octicon octicon-repo js-jump-to-octicon-repo d-none flex-shrink-0"">"
NA,"<path fill-rule=""evenodd"" d=""M2 2.5A2.5 2.5 0 014.5 0h8.75a.75.75 0 01.75.75v12.5a.75.75 0 01-.75.75h-2.5a.75.75 0 110-1.5h1.75v-2h-8a1 1 0 00-.714 1.7.75.75 0 01-1.072 1.05A2.495 2.495 0 012 11.5v-9zm10.5-1V9h-8c-.356 0-.694.074-1 .208V2.5a1 1 0 011-1h8zM5 12.25v3.25a.25.25 0 00.4.2l1.45-1.087a.25.25 0 01.3 0L8.6 15.7a.25.25 0 00.4-.2v-3.25a.25.25 0 00-.25-.25h-3.5a.25.25 0 00-.25.25z""></path>"
</svg>,NA
NA,"<svg title=""Project"" aria-label=""Project"" role=""img"" height=""16"" viewBox=""0 0 16 16"" version=""1.1"" width=""16"" data-view-component=""true"" class=""octicon octicon-project js-jump-to-octicon-project d-none flex-shrink-0"">"
NA,"<path fill-rule=""evenodd"" d=""M1.75 0A1.75 1.75 0 000 1.75v12.5C0 15.216.784 16 1.75 16h12.5A1.75 1.75 0 0016 14.25V1.75A1.75 1.75 0 0014.25 0H1.75zM1.5 1.75a.25.25 0 01.25-.25h12.5a.25.25 0 01.25.25v12.5a.25.25 0 01-.25.25H1.75a.25.25 0 01-.25-.25V1.75zM11.75 3a.75.75 0 00-.75.75v7.5a.75.75 0 001.5 0v-7.5a.75.75 0 00-.75-.75zm-8.25.75a.75.75 0 011.5 0v5.5a.75.75 0 01-1.5 0v-5.5zM8 3a.75.75 0 00-.75.75v3.5a.75.75 0 001.5 0v-3.5A.75.75 0 008 3z""></path>"
</svg>,NA
NA,"<svg title=""Search"" aria-label=""Search"" role=""img"" height=""16"" viewBox=""0 0 16 16"" version=""1.1"" width=""16"" data-view-component=""true"" class=""octicon octicon-search js-jump-to-octicon-search d-none flex-shrink-0"">"
NA,"<path fill-rule=""evenodd"" d=""M11.5 7a4.499 4.499 0 11-8.998 0A4.499 4.499 0 0111.5 7zm-.82 4.74a6 6 0 111.06-1.06l3.04 3.04a.75.75 0 11-1.06 1.06l-3.04-3.04z""></path>"
</svg>,NA
NA,</div>
NA,"<img class=""avatar mr-2 flex-shrink-0 js-jump-to-suggestion-avatar d-none"" alt="""" aria-label=""Team"" src="""" width=""28"" height=""28"">"
NA,"<div class=""jump-to-suggestion-name js-jump-to-suggestion-name flex-auto overflow-hidden text-left no-wrap css-truncate css-truncate-target"">"
NA,</div>
NA,"<div class=""border rounded-1 flex-shrink-0 color-bg-subtle px-1 color-fg-muted ml-1 f6 d-none js-jump-to-badge-search"">"
NA,"<span class=""js-jump-to-badge-search-text-default d-none"" aria-label=""in this repository"">"
NA,In this repository
NA,</span>
NA,"<span class=""js-jump-to-badge-search-text-global d-none"" aria-label=""in all of GitHub"">"
NA,All GitHub
NA,</span>
NA,"<span aria-hidden=""true"" class=""d-inline-block ml-1 v-align-middle"">↵</span>"
NA,</div>
NA,"<div aria-hidden=""true"" class=""border rounded-1 flex-shrink-0 color-bg-subtle px-1 color-fg-muted ml-1 f6 d-none d-on-nav-focus js-jump-to-badge-jump"">"
NA,Jump to
NA,"<span class=""d-inline-block ml-1 v-align-middle"">↵</span>"
NA,</div>
NA,</a>
</li>,NA
</ul>,NA
<ul,"class=""d-none js-jump-to-no-results-template-container"">"
NA,"<li class=""d-flex flex-justify-center flex-items-center f5 d-none js-jump-to-suggestion p-2"">"
NA,"<span class=""color-fg-muted"">No suggested jump to results</span>"
NA,</li>
</ul>,NA
<ul,"id=""jump-to-results"" role=""listbox"" class=""p-0 m-0 js-navigation-container jump-to-suggestions-results-container js-jump-to-suggestions-results-container"">"
<li,"class=""d-flex flex-justify-start flex-items-center p-0 f5 navigation-item js-navigation-item js-jump-to-scoped-search d-none"" role=""option"">"
NA,"<a tabindex=""-1"" class=""no-underline d-flex flex-auto flex-items-center jump-to-suggestions-path js-jump-to-suggestion-path js-navigation-open p-2"" href="""" data-item-type=""scoped_search"">"
NA,"<div class=""jump-to-octicon js-jump-to-octicon flex-shrink-0 mr-2 text-center d-none"">"
NA,"<svg title=""Repository"" aria-label=""Repository"" role=""img"" height=""16"" viewBox=""0 0 16 16"" version=""1.1"" width=""16"" data-view-component=""true"" class=""octicon octicon-repo js-jump-to-octicon-repo d-none flex-shrink-0"">"
NA,"<path fill-rule=""evenodd"" d=""M2 2.5A2.5 2.5 0 014.5 0h8.75a.75.75 0 01.75.75v12.5a.75.75 0 01-.75.75h-2.5a.75.75 0 110-1.5h1.75v-2h-8a1 1 0 00-.714 1.7.75.75 0 01-1.072 1.05A2.495 2.495 0 012 11.5v-9zm10.5-1V9h-8c-.356 0-.694.074-1 .208V2.5a1 1 0 011-1h8zM5 12.25v3.25a.25.25 0 00.4.2l1.45-1.087a.25.25 0 01.3 0L8.6 15.7a.25.25 0 00.4-.2v-3.25a.25.25 0 00-.25-.25h-3.5a.25.25 0 00-.25.25z""></path>"
</svg>,NA
NA,"<svg title=""Project"" aria-label=""Project"" role=""img"" height=""16"" viewBox=""0 0 16 16"" version=""1.1"" width=""16"" data-view-component=""true"" class=""octicon octicon-project js-jump-to-octicon-project d-none flex-shrink-0"">"
NA,"<path fill-rule=""evenodd"" d=""M1.75 0A1.75 1.75 0 000 1.75v12.5C0 15.216.784 16 1.75 16h12.5A1.75 1.75 0 0016 14.25V1.75A1.75 1.75 0 0014.25 0H1.75zM1.5 1.75a.25.25 0 01.25-.25h12.5a.25.25 0 01.25.25v12.5a.25.25 0 01-.25.25H1.75a.25.25 0 01-.25-.25V1.75zM11.75 3a.75.75 0 00-.75.75v7.5a.75.75 0 001.5 0v-7.5a.75.75 0 00-.75-.75zm-8.25.75a.75.75 0 011.5 0v5.5a.75.75 0 01-1.5 0v-5.5zM8 3a.75.75 0 00-.75.75v3.5a.75.75 0 001.5 0v-3.5A.75.75 0 008 3z""></path>"
</svg>,NA
NA,"<svg title=""Search"" aria-label=""Search"" role=""img"" height=""16"" viewBox=""0 0 16 16"" version=""1.1"" width=""16"" data-view-component=""true"" class=""octicon octicon-search js-jump-to-octicon-search d-none flex-shrink-0"">"
NA,"<path fill-rule=""evenodd"" d=""M11.5 7a4.499 4.499 0 11-8.998 0A4.499 4.499 0 0111.5 7zm-.82 4.74a6 6 0 111.06-1.06l3.04 3.04a.75.75 0 11-1.06 1.06l-3.04-3.04z""></path>"
</svg>,NA
NA,</div>
NA,"<img class=""avatar mr-2 flex-shrink-0 js-jump-to-suggestion-avatar d-none"" alt="""" aria-label=""Team"" src="""" width=""28"" height=""28"">"
NA,"<div class=""jump-to-suggestion-name js-jump-to-suggestion-name flex-auto overflow-hidden text-left no-wrap css-truncate css-truncate-target"">"
NA,</div>
NA,"<div class=""border rounded-1 flex-shrink-0 color-bg-subtle px-1 color-fg-muted ml-1 f6 d-none js-jump-to-badge-search"">"
NA,"<span class=""js-jump-to-badge-search-text-default d-none"" aria-label=""in this repository"">"
NA,In this repository
NA,</span>
NA,"<span class=""js-jump-to-badge-search-text-global d-none"" aria-label=""in all of GitHub"">"
NA,All GitHub
NA,</span>
NA,"<span aria-hidden=""true"" class=""d-inline-block ml-1 v-align-middle"">↵</span>"
NA,</div>
NA,"<div aria-hidden=""true"" class=""border rounded-1 flex-shrink-0 color-bg-subtle px-1 color-fg-muted ml-1 f6 d-none d-on-nav-focus js-jump-to-badge-jump"">"
NA,Jump to
NA,"<span class=""d-inline-block ml-1 v-align-middle"">↵</span>"
NA,</div>
NA,</a>
</li>,NA
<li,"class=""d-flex flex-justify-start flex-items-center p-0 f5 navigation-item js-navigation-item js-jump-to-owner-scoped-search d-none"" role=""option"">"
NA,"<a tabindex=""-1"" class=""no-underline d-flex flex-auto flex-items-center jump-to-suggestions-path js-jump-to-suggestion-path js-navigation-open p-2"" href="""" data-item-type=""owner_scoped_search"">"
NA,"<div class=""jump-to-octicon js-jump-to-octicon flex-shrink-0 mr-2 text-center d-none"">"
NA,"<svg title=""Repository"" aria-label=""Repository"" role=""img"" height=""16"" viewBox=""0 0 16 16"" version=""1.1"" width=""16"" data-view-component=""true"" class=""octicon octicon-repo js-jump-to-octicon-repo d-none flex-shrink-0"">"
NA,"<path fill-rule=""evenodd"" d=""M2 2.5A2.5 2.5 0 014.5 0h8.75a.75.75 0 01.75.75v12.5a.75.75 0 01-.75.75h-2.5a.75.75 0 110-1.5h1.75v-2h-8a1 1 0 00-.714 1.7.75.75 0 01-1.072 1.05A2.495 2.495 0 012 11.5v-9zm10.5-1V9h-8c-.356 0-.694.074-1 .208V2.5a1 1 0 011-1h8zM5 12.25v3.25a.25.25 0 00.4.2l1.45-1.087a.25.25 0 01.3 0L8.6 15.7a.25.25 0 00.4-.2v-3.25a.25.25 0 00-.25-.25h-3.5a.25.25 0 00-.25.25z""></path>"
</svg>,NA
NA,"<svg title=""Project"" aria-label=""Project"" role=""img"" height=""16"" viewBox=""0 0 16 16"" version=""1.1"" width=""16"" data-view-component=""true"" class=""octicon octicon-project js-jump-to-octicon-project d-none flex-shrink-0"">"
NA,"<path fill-rule=""evenodd"" d=""M1.75 0A1.75 1.75 0 000 1.75v12.5C0 15.216.784 16 1.75 16h12.5A1.75 1.75 0 0016 14.25V1.75A1.75 1.75 0 0014.25 0H1.75zM1.5 1.75a.25.25 0 01.25-.25h12.5a.25.25 0 01.25.25v12.5a.25.25 0 01-.25.25H1.75a.25.25 0 01-.25-.25V1.75zM11.75 3a.75.75 0 00-.75.75v7.5a.75.75 0 001.5 0v-7.5a.75.75 0 00-.75-.75zm-8.25.75a.75.75 0 011.5 0v5.5a.75.75 0 01-1.5 0v-5.5zM8 3a.75.75 0 00-.75.75v3.5a.75.75 0 001.5 0v-3.5A.75.75 0 008 3z""></path>"
</svg>,NA
NA,"<svg title=""Search"" aria-label=""Search"" role=""img"" height=""16"" viewBox=""0 0 16 16"" version=""1.1"" width=""16"" data-view-component=""true"" class=""octicon octicon-search js-jump-to-octicon-search d-none flex-shrink-0"">"
NA,"<path fill-rule=""evenodd"" d=""M11.5 7a4.499 4.499 0 11-8.998 0A4.499 4.499 0 0111.5 7zm-.82 4.74a6 6 0 111.06-1.06l3.04 3.04a.75.75 0 11-1.06 1.06l-3.04-3.04z""></path>"
</svg>,NA
NA,</div>
NA,"<img class=""avatar mr-2 flex-shrink-0 js-jump-to-suggestion-avatar d-none"" alt="""" aria-label=""Team"" src="""" width=""28"" height=""28"">"
NA,"<div class=""jump-to-suggestion-name js-jump-to-suggestion-name flex-auto overflow-hidden text-left no-wrap css-truncate css-truncate-target"">"
NA,</div>
NA,"<div class=""border rounded-1 flex-shrink-0 color-bg-subtle px-1 color-fg-muted ml-1 f6 d-none js-jump-to-badge-search"">"
NA,"<span class=""js-jump-to-badge-search-text-default d-none"" aria-label=""in this user"">"
NA,In this user
NA,</span>
NA,"<span class=""js-jump-to-badge-search-text-global d-none"" aria-label=""in all of GitHub"">"
NA,All GitHub
NA,</span>
NA,"<span aria-hidden=""true"" class=""d-inline-block ml-1 v-align-middle"">↵</span>"
NA,</div>
NA,"<div aria-hidden=""true"" class=""border rounded-1 flex-shrink-0 color-bg-subtle px-1 color-fg-muted ml-1 f6 d-none d-on-nav-focus js-jump-to-badge-jump"">"
NA,Jump to
NA,"<span class=""d-inline-block ml-1 v-align-middle"">↵</span>"
NA,</div>
NA,</a>
</li>,NA
<li,"class=""d-flex flex-justify-start flex-items-center p-0 f5 navigation-item js-navigation-item js-jump-to-global-search d-none"" role=""option"">"
NA,"<a tabindex=""-1"" class=""no-underline d-flex flex-auto flex-items-center jump-to-suggestions-path js-jump-to-suggestion-path js-navigation-open p-2"" href="""" data-item-type=""global_search"">"
